1,2000.00000000,1000.00000000,100.00000000,S1
1,2000.00000000,1000.00000000,100.00000000,S1
3,1995.88700000,949.94200000,100.47100000,B
4,2036.51600000,961.55100000,99.93300000,B
5,2033.22600000,967.52600000,100.08800000,B
6,2025.28200000,983.31000000,100.05900000,B
7,2020.96000000,991.74200000,100.11200000,B
8,2016.76300000,999.04000000,100.15900000,B
9,2010.86800000,1009.13800000,100.03400000,B
10,2006.72200000,1016.41400000,100.15000000,B
11,2001.44700000,1026.94800000,100.12400000,B
12,1997.73200000,1033.60400000,100.37900000,B
13,1995.02300000,1039.05600000,100.06600000,B
14,1987.89900000,1051.71200000,100.23000000,B
15,1982.44100000,1061.90800000,100.22200000,B
16,1978.18300000,1069.70900000,100.18800000,B
17,1972.41800000,1080.00500000,100.02600000,B
18,1968.18400000,1087.84200000,100.13900000,B
19,1963.78800000,1095.65900000,100.08300000,B
20,1959.61600000,1103.06800000,99.93500000,B
21,1956.30500000,1109.06600000,100.10000000,B
22,1955.65200000,1109.93100000,100.11200000,B
23,1953.85000000,1107.67700000,100.16500000,B
24,1947.72500000,1100.00000000,100.26200000,B
25,1950.43000000,1091.39900000,100.30600000,B
26,1941.00100000,1085.99500000,100.14600000,B
27,1943.47200000,1087.36600000,100.18500000,B
28,1936.82700000,1084.31900000,100.24400000,B
29,1932.81300000,1083.48400000,100.12900000,B
30,1927.61900000,1082.45300000,100.29100000,B
31,1923.80500000,1081.72900000,100.64700000,B
32,1925.38800000,1078.77400000,100.46500000,B
33,1928.21100000,1073.54300000,100.47200000,B
34,1931.09900000,1068.42800000,100.69900000,B
35,1936.48500000,1058.63400000,100.55400000,B
36,1940.99500000,1050.91500000,100.46100000,B
37,1948.33400000,1037.57500000,100.50300000,B
38,1952.68200000,1030.04200000,100.84000000,B
39,1955.72800000,1024.17300000,100.47200000,B
40,1963.76100000,1009.32100000,100.51400000,B
41,1969.10700000,999.43700000,100.54600000,B
42,1971.96000000,994.05600000,100.52000000,B
43,1977.99200000,983.41000000,100.34600000,B
44,1982.42600000,974.79300000,100.55600000,B
45,1985.70000000,969.19400000,100.54400000,B
46,1988.87900000,963.15500000,100.61300000,B
47,1992.72000000,956.48400000,100.46700000,B
48,1994.35300000,953.53000000,100.42400000,B
49,2014.79800000,946.22700000,100.21400000,P
50,2038.70500000,956.87600000,99.67900000,P
51,1996.44300000,938.01100000,100.72000000,P
52,2000.74100000,937.31100000,99.81500000,R
53,2003.52500000,930.43000000,99.80700000,R
54,2042.63700000,947.85400000,98.74700000,R
55,2037.30000000,953.61700000,98.74400000,R
60,2040.02900000,950.28000000,99.01700000,RL
61,2034.53600000,944.15700000,99.46500000,TBM1
62,2022.64900000,938.84800000,99.81100000,TBM2
63,2018.75900000,939.76300000,99.70400000,RL
64,2018.00600000,950.08300000,99.55800000,L
65,2015.13400000,955.40400000,99.54500000,L
66,2012.64400000,960.83900000,99.66700000,L
67,2009.71300000,966.25500000,99.82000000,L
68,2006.46900000,972.56900000,100.15500000,L
69,2002.47600000,979.95600000,100.15200000,L
70,1994.03100000,993.60100000,100.12700000,L
71,1986.72100000,1008.72600000,100.08400000,L
72,1982.86800000,1016.89000000,100.09500000,L
73,1978.26500000,1028.56900000,100.15800000,L
74,1972.43200000,1039.69400000,100.33100000,L
75,1965.33800000,1053.57000000,100.29100000,L
76,1959.03500000,1068.63200000,99.99900000,L
77,1953.34200000,1084.71900000,100.02600000,L
